System,Testing Studie Ids,Tracing Studie Ids,#Studies Testing,#Studies Tracing,#Studies,Available,OSS,Micro-service
"Tea Store","T65, T74, T85, T4","M670, M1320, M1559",4,3,7,1,1,1
"TPC-W","","M900",0,1,1,0,0,0
"Train Ticket","T7, T402, T549, T1625, T30, T39, T43, T45","M10, M12, M14, M17, M29, M56, M57, M62, M80, M112, M487, M498, M584, M592, M626, M707, M46, M464, M670, M785",8,20,28,1,1,1
"Transaction service","T83","",1,0,1,1,1,1
"Transfermarkt","T1332","",1,0,1,0,0,0
"triCalculate (system with 6 microservices)","T114","",1,0,1,0,0,0
"Trust","T58","",1,0,1,0,0,0
"Tumblr","T220","",1,0,1,0,0,0
"Twitter","T1318","",1,0,1,0,0,0
"Unknown","T16","",1,0,1,0,0,0
"Various public and private APIs","T444","",1,0,1,0,0,0
"various public APIs","T1282","",1,0,1,0,0,0
"Various publically available apis","T638","",1,0,1,0,0,0
"VMAMV-Cinema","T378","",1,0,1,1,1,1
"Wordpress with Elasticsearch plugin","T110","",1,0,1,1,1,0
"Yelp","T220, T486","",2,0,2,0,0,0
"Youtube","T220, T486, T876","",3,0,3,0,0,0
"YoutubeMock","T425","",1,0,1,0,0,0
"z-Shop","T56, T72, T120","",3,0,3,0,0,0
