Title,DOI,Year
"A Roadmap for Migration System-Architecture Decision by Neutrosophic-ANP and Benchmark for Enterprise Resource Planning Systems","10.1109/ACCESS.2021.3068837",2021
"Large-Scale Intelligent Microservices","10.1109/BigData50022.2020.9378270",2020
"MicroRAS: Automatic recovery in the absence of historical failure data for microservice systems","10.1109/UCC48980.2020.00041",2020
"Graph-based trace analysis for microservice architecture understanding and problem diagnosis","10.1145/3368089.3417066",2020
"Automated code-smell detection in microservices through static analysis: A case study","10.3390/app10217800",2020
"Fitness-guided Resilience Testing of Microservice-based Applications","10.1109/ICWS49710.2020.00027",2020
"Root-Cause Metric Location for Microservice Systems via Log Anomaly Detection","10.1109/ICWS49710.2020.00026",2020
"MicroRCA: Root Cause Localization of Performance Issues in Microservices","10.1109/NOMS47738.2020.9110353",2020
"An Anomaly Detection Algorithm for Microservice Architecture Based on Robust Principal Component Analysis","10.1109/ACCESS.2020.3044610",2020
"Firm: An intelligent fine-grained resource management framework for SLO-Oriented microservices","",2020
"Identification of Comparison Key Elements and Their Relationships for Cloud Service Selection","10.1007/978-3-030-44769-4_6",2020
"Graph-based root cause analysis for service-oriented and microservice architectures","10.1016/j.jss.2019.110432",2020
"A data-centric approach to distributed tracing","10.1109/CloudCom.2019.00039",2019
"Latent error prediction and fault localization for microservice applications by learning from system trace logs","10.1145/3338906.3338961",2019
"A comparative analysis of emerging approaches for securing java software with Intel SGX","10.1016/j.future.2019.03.018",2019
"MS-rank: Multi-metric and self-adaptive root cause diagnosis for microservice applications","10.1109/ICWS.2019.00022",2019
"Efficient resource management in the cloud: From simulation to experimental validation using a low-cost Raspberry Pi testbed","10.1002/spe.2669",2019
"Offering security diagnosis as a service for cloud SaaS applications","10.1016/j.jisa.2018.11.006",2019
"12th International Conference on Cloud Computing, CLOUD 2019 held as part of the Services Conference Federation, SCF 2019","",2019
"22nd International Conference on Fundamental Approaches to Software Engineering, FASE 2019, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2019","",2019
"On anomaly detection and root cause analysis of microservice systems","10.1007/978-3-030-17642-6_45",2019
"ORCAS: Efficient Resilience Benchmarking of Microservice Architectures","10.1109/ISSREW.2018.00-10",2018
"Visualization Tool for Designing Microservices with the Monolith-First Approach","10.1109/VISSOFT.2018.00012",2018
"CloudRanger: Root cause identification for cloud native systems","10.1109/CCGRID.2018.00076",2018
"Benchmarking microservice systems for software engineering research","10.1145/3183440.3194991",2018
"Inferring calling relationship based on external observation for microservice architecture","10.1007/978-3-319-69035-3_16",2017
"Procedia Computer Science","",2015
